,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
14,2023-05-16,Prudential Indonesia (PT Prudential Life Assurance),Business Development,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
15,2023-04-12,Britannia Hotels Ltd,Food & Beverage Supervisor,"Your, Papua, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
16,2023-05-18,TalentKompass Deutschland,Junior Data Analyst (Remote Internship – Data Analysis),"Ubud, Bali, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
17,2023-05-27,PT. Koding Next Indonesia,Customer Support - PARTTIME- WEEKEND,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
18,2023-03-31,Perqara,Junior Product Manager,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
19,2023-05-26,Prudential Indonesia (PT Prudential Life Assurance),Assistant Manager - Business Analyst,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
20,2023-03-31,Starco,Host Live Streamer (Freelance/Part-time/Internship),"Tangerang, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
21,2023-05-18,TalentKompass Deutschland,Junior Project Manager (Remote Management Internship),"Ubud, Bali, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
22,2023-05-18,Prudential Indonesia (PT Prudential Life Assurance),AM - Data Analyst,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
23,2023-04-26,Seedstars,Growth and HR Entrepreneur in Residence Asia,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
